ID,Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz
,,,,,
2,"U1,U4,U2",DIP-16_W7.62mm,3,LTV-847,C10794
3,"R503,R502",R_0603,2,"4,7k",C25804
4,Q2,Q_SOT-23,1,LBSS84LT1G,C8492
5,BF_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,BrakeFluid,
6,GND_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_GND,
7,USB_OUT_1,"PHOENIX_1729128_2x2,54",1,To USB converter,C91153
8,"R9,R13,R10",R_0603x4,3,10kΩ,C29718
9,"R7,R301,R11",R_0603x4,3,4.7kΩ,C1980
10,MC_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,MotorCap,
11,"R1,R5",R_0603,2,100kΩ,C25803
12,TFT_DC_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_DC,
13,CS_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_CS,
14,Q1,SOT-363_SC-70-6,1,MMDT3904,C21664
15,MEM_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Memory,
16,"K503,K504,K31,K502,K501",SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,5,K31,
17,U101,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
18,5V_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_5V,
19,"Hole_4,Hole_2,Hole_1,Hole_3",MountingHole_3.2mm_M3,4,MountingHole_3.2mm_M3,
20,WW_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,WhiperWater,
21,"J5,J20",PinSocket_1x19_P2.54mm_Vertical,2,Conn_01x19_Socket,
22,K30,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,K30,
23,SD_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Door_S,
24,"C501,C502",C_0402,2,100nF,C1525
25,GPS_1,PinSocket_1x04_P2.54mm_Vertical,1,GPS Modul expansion port,C9900031696
26,"D2,D1",D_SMB,2,S3MB,C18199102
27,MODE_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Mode,
28,"R101,R6,R501",R_0603,3,10kΩ,C25804
29,R2,R_0603,1,220kΩ,C22961
30,CAN_L_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Can_L,
31,OP_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,OilPresure,
32,SLK_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_SLK,
33,BME_280,PinSocket_1x04_P2.54mm_Vertical,1,BME280_conn,C9900031696
34,R4,R_0603,1,220Ω,C22962
35,K15,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,K15,
36,CAN_H_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Can_H,
37,R12,R_0603,1,4.7kΩ,C23162
38,RD_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Door_R,
39,U3,DIP-4_W7.62mm,1,LVT 817,C125120
40,BP_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,BrakePads,
41,OL_LED_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,O_Lev_LED,
42,RST_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_RST,
43,OS_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,oilSensor,
44,U501,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23017_ML,
45,Cool_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Coolant,
46,MOSi_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,TFT_MOSI,
47,RESET_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Reset,
48,TR_1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Trunk,
49,R3,R_0603,1,33kΩ,C4216
